date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:26	3452/3452	---M--	200	added ('OK')	text/html	etag:%224008b-d7c-51da9d9a39976%22	http://designtab.nitrkl.ac.in/index.html	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/index.html	(from )
12:06:27	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2006:43:56%20GMT	http://designtab.nitrkl.ac.in/robots.txt		(from )
12:06:30	2471/2471	---M--	200	added ('OK')	text/css	etag:%224006d-9a7-51da9c2d0334e%22	http://designtab.nitrkl.ac.in/css/style.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/style.css	(from http://designtab.nitrkl.ac.in/index.html)
12:06:30	1130/1130	---M--	200	added ('OK')	text/css	etag:%224002b-46a-51da9c2ce3396%22	http://designtab.nitrkl.ac.in/css/home.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/home.css	(from http://designtab.nitrkl.ac.in/index.html)
12:06:31	1168/1168	---M--	200	added ('OK')	text/css	etag:%224006a-490-51da9c2d02b7e%22	http://designtab.nitrkl.ac.in/css/modal.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/modal.css	(from http://designtab.nitrkl.ac.in/index.html)
12:06:31	19426/19426	---M--	200	added ('OK')	image/png	etag:%22400d8-4be2-51da9c6d22006%22	http://designtab.nitrkl.ac.in/images/dt.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/dt.png	(from http://designtab.nitrkl.ac.in/index.html)
12:06:32	23739/23739	---M--	200	added ('OK')	text/css	etag:%224002a-5cbb-51da9c2ce2faf%22	http://designtab.nitrkl.ac.in/css/font-awesome.min.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/font-awesome.min.css	(from http://designtab.nitrkl.ac.in/index.html)
12:06:32	5277/5277	---M--	200	added ('OK')	text/html	etag:%224001d-149d-51da9c2ce183e%22	http://designtab.nitrkl.ac.in/3d.html	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/3d.html	(from http://designtab.nitrkl.ac.in/index.html)
12:06:32	14504/14504	---M--	200	added ('OK')	text/html	etag:%22400bd-38a8-51da9c2d23308%22	http://designtab.nitrkl.ac.in/team.html	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/team.html	(from http://designtab.nitrkl.ac.in/index.html)
12:06:32	21903/21903	---M--	200	added ('OK')	image/svg+xml	etag:%22400da-558f-51da9c6d223ef%22	http://designtab.nitrkl.ac.in/images/DT1.svg	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/DT1.svg	(from http://designtab.nitrkl.ac.in/index.html)
12:06:34	4890/4890	---M--	200	added ('OK')	image/svg+xml	etag:%22400d6-131a-51da9c6d21837%22	http://designtab.nitrkl.ac.in/images/be.svg	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/be.svg	(from http://designtab.nitrkl.ac.in/index.html)
12:06:35	1084/1084	---M--	200	added ('OK')	image/svg+xml	etag:%22400dd-43c-51da9c6d22bbe%22	http://designtab.nitrkl.ac.in/images/fb.svg	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/fb.svg	(from http://designtab.nitrkl.ac.in/index.html)
12:07:03	1767/1767	---M-Z	200	added ('OK')	application/x-javascript		http://designtab.nitrkl.ac.in/js/particles.min.js	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/js/particles.min.js	(from http://designtab.nitrkl.ac.in/index.html)
12:07:03	125785/125785	---M--	200	added ('OK')	text/css	etag:%224002c-1eb59-51da9c2ce3f4d%22	http://designtab.nitrkl.ac.in/css/hover-min.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/hover-min.css	(from http://designtab.nitrkl.ac.in/index.html)
12:07:03	2015/2015	---M--	200	added ('OK')	text/javascript	etag:%224008f-7df-51da9c2d098de%22	http://designtab.nitrkl.ac.in/js/index.js	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/js/index.js	(from http://designtab.nitrkl.ac.in/index.html)
12:07:04	218/218	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2006:44:33%20GMT	http://designtab.nitrkl.ac.in/fonts/Jura-light.otf	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/fonts/Jura-light.e.delayed	(from http://designtab.nitrkl.ac.in/css/style.css)
12:07:05	227/227	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2006:44:33%20GMT	http://designtab.nitrkl.ac.in/fonts/fontawesome-webfont.eot?v=4.3.0	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/fonts/fontawesome-webfont.fe0a5.delayed	(from http://designtab.nitrkl.ac.in/css/font-awesome.min.css)
12:07:05	227/227	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2006:44:34%20GMT	http://designtab.nitrkl.ac.in/fonts/fontawesome-webfont.eot?	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/fonts/fontawesome-webfont.10d41d.delayed	(from http://designtab.nitrkl.ac.in/css/font-awesome.min.css)
12:07:06	229/229	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2006:44:35%20GMT	http://designtab.nitrkl.ac.in/fonts/fontawesome-webfont.woff2?v=4.3.0	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/fonts/fontawesome-webfont.11e0a5.delayed	(from http://designtab.nitrkl.ac.in/css/font-awesome.min.css)
12:07:06	228/228	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2006:44:35%20GMT	http://designtab.nitrkl.ac.in/fonts/fontawesome-webfont.woff?v=4.3.0	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/fonts/fontawesome-webfont.12e0a5.delayed	(from http://designtab.nitrkl.ac.in/css/font-awesome.min.css)
12:07:06	227/227	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2006:44:36%20GMT	http://designtab.nitrkl.ac.in/fonts/fontawesome-webfont.ttf?v=4.3.0	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/fonts/fontawesome-webfont.13e0a5.delayed	(from http://designtab.nitrkl.ac.in/css/font-awesome.min.css)
12:07:07	227/227	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2006:44:36%20GMT	http://designtab.nitrkl.ac.in/fonts/fontawesome-webfont.svg?v=4.3.0	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/fonts/fontawesome-webfont.14e0a5.delayed	(from http://designtab.nitrkl.ac.in/css/font-awesome.min.css)
12:07:07	3624/3624	---M--	200	added ('OK')	text/css	etag:%2240072-e28-51da9c2d042ee%22	http://designtab.nitrkl.ac.in/css/team/demo.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/team/demo.css	(from http://designtab.nitrkl.ac.in/3d.html)
12:07:08	310/310	---M--	200	added ('OK')	text/css	etag:%2240071-136-51da9c2d03f06%22	http://designtab.nitrkl.ac.in/css/team/common.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/team/common.css	(from http://designtab.nitrkl.ac.in/3d.html)
12:07:08	4505/4505	---M--	200	added ('OK')	text/css	etag:%2240074-1199-51da9c2d046d7%22	http://designtab.nitrkl.ac.in/css/team/style4.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/team/style4.css	(from http://designtab.nitrkl.ac.in/3d.html)
12:07:08	224/224	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2006:44:38%20GMT	http://designtab.nitrkl.ac.in/css/team/normalize.css.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/team/normalize.css.18.delayed	(from http://designtab.nitrkl.ac.in/3d.html)
12:07:11	1125/1125	---M--	200	added ('OK')	text/css	etag:%224006c-465-51da9c2d02f66%22	http://designtab.nitrkl.ac.in/css/portfolio.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/portfolio.css	(from http://designtab.nitrkl.ac.in/3d.html)
12:07:12	10403/10403	---M--	200	added ('OK')	text/html	etag:%224008a-28a3-51da9c2d08d26%22	http://designtab.nitrkl.ac.in/graphics.html	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/graphics.html	(from http://designtab.nitrkl.ac.in/3d.html)
12:07:12	5496/5496	---M--	200	added ('OK')	text/html	etag:%22400be-1578-51da9c2d236ee%22	http://designtab.nitrkl.ac.in/web.html	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/web.html	(from http://designtab.nitrkl.ac.in/3d.html)
12:07:30	93833/93833	---M--	200	added ('OK')	image/png	etag:%22400c3-16e89-51da9c6d0dfb5%22	http://designtab.nitrkl.ac.in/images/3d/2.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/2.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:07:33	136631/136631	---M--	200	added ('OK')	image/png	etag:%22400c1-215b7-51da9c6d0cc2d%22	http://designtab.nitrkl.ac.in/images/3d/1.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/1.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:07:48	102536/102536	---M--	200	added ('OK')	image/png	etag:%22400c4-19088-51da9c6d0e785%22	http://designtab.nitrkl.ac.in/images/3d/3.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/3.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:07:54	308484/308484	---M--	200	added ('OK')	image/png	etag:%22400cc-4b504-51da9c6d1398c%22	http://designtab.nitrkl.ac.in/images/3d/img/1.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/img/1.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:08:04	339462/339462	---M--	200	added ('OK')	image/png	etag:%22400ce-52e06-51da9c6d1686d%22	http://designtab.nitrkl.ac.in/images/3d/img/2.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/img/2.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:08:10	89478/89478	---M--	200	added ('OK')	image/png	etag:%22400c5-15d86-51da9c6d0f33d%22	http://designtab.nitrkl.ac.in/images/3d/4.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/4.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:08:25	89083/89083	---M--	200	added ('OK')	image/png	etag:%22400c6-15bfb-51da9c6d0fb0d%22	http://designtab.nitrkl.ac.in/images/3d/5.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/5.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:08:38	344128/344128	---M--	200	added ('OK')	image/png	etag:%22400d0-54040-51da9c6d1a305%22	http://designtab.nitrkl.ac.in/images/3d/img/4.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/img/4.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:08:39	394192/394192	---M--	200	added ('OK')	image/png	etag:%22400cf-603d0-51da9c6d187bb%22	http://designtab.nitrkl.ac.in/images/3d/img/3.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/img/3.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:08:53	93423/93423	---M--	200	added ('OK')	image/png	etag:%22400d3-16cef-51da9c6d1e955%22	http://designtab.nitrkl.ac.in/images/3d/img/7.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/img/7.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:08:58	145273/145273	---M--	200	added ('OK')	image/png	etag:%22400c7-23779-51da9c6d106c5%22	http://designtab.nitrkl.ac.in/images/3d/6.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/6.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:00	39972/39972	---M--	200	added ('OK')	image/png	etag:%22400c8-9c24-51da9c6d10e96%22	http://designtab.nitrkl.ac.in/images/3d/7.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/7.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:11	86312/86312	---M--	200	added ('OK')	image/png	etag:%22400c9-15128-51da9c6d11a4d%22	http://designtab.nitrkl.ac.in/images/3d/8.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/8.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:25	524882/524882	---M--	200	added ('OK')	image/png	etag:%22400d2-80252-51da9c6d1e185%22	http://designtab.nitrkl.ac.in/images/3d/img/6.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/img/6.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:30	273630/273630	---M--	200	added ('OK')	image/png	etag:%22400d4-42cde-51da9c6d200c5%22	http://designtab.nitrkl.ac.in/images/3d/img/8.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/img/8.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:38	90276/90276	---M--	200	added ('OK')	image/png	etag:%22400ca-160a4-51da9c6d12222%22	http://designtab.nitrkl.ac.in/images/3d/9.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/9.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:49	280076/280076	---M--	200	added ('OK')	image/png	etag:%22400d5-4460c-51da9c6d2144d%22	http://designtab.nitrkl.ac.in/images/3d/img/9.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/img/9.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:51	77460/77460	---M--	200	added ('OK')	image/png	etag:%22400c2-12e94-51da9c6d0d7e5%22	http://designtab.nitrkl.ac.in/images/3d/10.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/10.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:51	4916/4916	---M--	200	added ('OK')	text/css	etag:%22400ba-1334-51da9c2d2274e%22	http://designtab.nitrkl.ac.in/source/jquery.fancybox.css?v=2.1.5	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/source/jquery.fancybox8cbb.css	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:51	2447/2447	---M--	200	added ('OK')	text/css	etag:%22400b5-98f-51da9c2d217ae%22	http://designtab.nitrkl.ac.in/source/helpers/jquery.fancybox-buttons.css?v=1.0.5	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/source/helpers/jquery.fancybox-buttons3447.css	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:54	3041/3041	---M--	200	added ('OK')	text/javascript	etag:%22400b6-be1-51da9c2d21b96%22	http://designtab.nitrkl.ac.in/source/helpers/jquery.fancybox-buttons.js?v=1.0.5	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/source/helpers/jquery.fancybox-buttons3447.js	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:55	735/735	---M--	200	added ('OK')	text/css	etag:%22400b8-2df-51da9c2d21f7e%22	http://designtab.nitrkl.ac.in/source/helpers/jquery.fancybox-thumbs.css?v=1.0.7	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/source/helpers/jquery.fancybox-thumbsf2ad.css	(from http://designtab.nitrkl.ac.in/3d.html)
